순위,관광지명,주소,분류,외지인 검색 수
1,에버랜드,경기 용인시 처인구 에버랜드로 199-0,테마공원,866175
2,이케아고양점,경기 고양시 덕양구 권율대로 420-0,쇼핑몰,471939
3,이케아광명점,경기 광명시 일직로 17-0,쇼핑몰,430964
4,이케아기흥점,경기 용인시 기흥구 신고매로 62-0,쇼핑몰,315756
5,오이도빨강등대,경기 시흥시 오이도로 170-0,랜드마크관광,309724
6,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,전시시설,296657
7,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,시장,258825
8,서울대공원,경기 과천시 대공원광장로 102-0,테마공원,253898
9,일산호수공원,경기 고양시 일산동구 호수로 595-0,도시공원,241597
10,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑몰,221770
11,서울랜드,경기 과천시 광명로 181-0,테마공원,210538
12,궁평항,경기 화성시 궁평항로 1049-24,자연경관(하천/해양),207126
13,마장호수출렁다리,경기 파주시,기타관광,199996
14,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,도시공원,199411
15,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,193223
16,화담숲,경기 광주시 도척윗로 278-1,자연공원,184917
17,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사유적지,184318
18,두물머리,경기 양평군,기타관광,182671
19,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,전시시설,177304
20,백운호수,경기 의왕시 학현로 0-0,자연경관(하천/해양),164264
21,스타필드하남,경기 하남시 미사대로 750-0,쇼핑몰,153399
22,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑몰,150891
23,곤지암리조트,경기 광주시 도척윗로 278-0,콘도미니엄,149515
24,대명포구,경기 김포시,자연경관(하천/해양),148193
25,안성팜랜드,경기 안성시 대신두길 28-0,테마공원,145329
26,대부도,경기 안산시 단원구 감나무길 0-0,자연경관(하천/해양),144711
27,율동공원,경기 성남시 분당구 문정로 145-0,도시공원,139796
28,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,시장,136854
29,방아머리해수욕장,경기 안산시 단원구,자연경관(하천/해양),134191
30,아침고요수목원,경기 가평군 수목원로 432-0,자연공원,129737
31,레이크사이드CC,경기 용인시 처인구 능원로 181-0,육상레저스포츠,125473
32,제부도,경기 화성시,자연경관(하천/해양),124518
33,비에이비스타CC,경기 이천시 어농로 272-0,육상레저스포츠,123715
34,산정호수,경기 포천시,자연경관(하천/해양),122894
35,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑몰,122803
36,평화누리,경기 파주시,도시공원,120406
37,수원농수산물도매시장,경기 수원시 권선구 세권로 243-0,시장,117567
38,물왕호수,경기 시흥시,자연경관(하천/해양),114902
39,동탄호수공원,경기 화성시,도시공원,113294
40,리베라CC,경기 화성시 중리길 183-0,육상레저스포츠,110347
41,화성행궁,경기 수원시 팔달구 정조로 825-0,역사유적지,107825
42,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑몰,106226
43,남한산성,경기 광주시 남한산성로 784-16,역사유적지,105455
44,행주산성,경기 고양시 덕양구 행주로15번길 0-0,역사유적지,103852
45,국립과천과학관,경기 과천시 상하벌로 110-0,전시시설,103503
46,국립수목원,경기 포천시 광릉수목원로 415-0,자연공원,101933
47,앨리웨이광교,경기 수원시 영통구 광교호수공원로 80-0,쇼핑몰,101201
48,미사리경정공원,경기 하남시 미사대로 505-0,도시공원,99988
49,안양예술공원,경기 안양시 만안구 예술공원로 195-1,도시공원,95205
50,포천아트밸리,경기 포천시 아트밸리로 234-0,공연시설,94395
51,LF스퀘어양주점,경기 양주시 평화로 1593-0,쇼핑몰,94062
52,남한산성도립공원,경기 광주시 남한산성로 0-0,자연공원,93864
53,태광CC,경기 용인시 기흥구 흥덕4로 77-0,육상레저스포츠,93499
54,수원컨벤션센터,경기 수원시 영통구 광교중앙로 140-0,전시시설,90422
55,광명동굴,경기 광명시 가학로85번길 142-0,자연생태,89567
56,골드CC,경기 용인시 기흥구 기흥단지로 398-0,육상레저스포츠,88836
57,프로방스,경기 파주시 새오리로 69-0,기타관광,87341
58,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑몰,86375
59,시흥갯골생태공원,경기 시흥시 동서로 287-0,도시공원,85820
60,아일랜드CC,경기 안산시 단원구 대선로 466-0,육상레저스포츠,84790
61,지산포레스트리조트스키장,경기 이천시 지산로 267-0,육상레저스포츠,84321
62,아쿠아플라넷일산,경기 고양시 일산서구 한류월드로 282-0,테마공원,84162
63,모란민속5일장,경기 성남시 중원구 둔촌대로 68-0,시장,83932
64,수원CC,경기 용인시 기흥구 중부대로 495-0,육상레저스포츠,83058
65,서원힐스CC,경기 파주시 서원길 333-0,육상레저스포츠,82952
66,임진각,경기 파주시 임진각로 164-0,기타관광,82764
67,렛츠런파크서울,경기 과천시 경마공원대로 107-0,육상레저스포츠,82544
68,신세계프리미엄아울렛여주점(EAST),경기 여주시 명품로 360-0,쇼핑몰,80964
69,신라CC,경기 여주시 신라그린길 84-0,육상레저스포츠,79587
70,코리아CC,경기 용인시 처인구 기흥단지로 579-0,육상레저스포츠,77409
71,플라자CC용인,경기 용인시 처인구 봉무로153번길 79-0,육상레저스포츠,77404
72,기흥CC,경기 화성시 풀무골로106번길 244-0,육상레저스포츠,76983
73,베어크리크GC,경기 포천시 달인동로 35-0,육상레저스포츠,76980
74,88CC,경기 용인시 기흥구 석성로521번길 169-0,육상레저스포츠,76151
75,전곡항,경기 화성시,자연경관(하천/해양),74788
76,신안CC,경기 안성시 개울말길 149-0,육상레저스포츠,74627
77,용문사,경기 양평군 용문산로 782-0,종교성지,73705
78,아시아나CC,경기 용인시 처인구 양대로 290-0,육상레저스포츠,73494
79,이천실크밸리GC,경기 이천시 임오산로 296-0,육상레저스포츠,73425
80,리빙파워센터,경기 용인시 기흥구 신고매로 59-0,쇼핑몰,73355
81,소노캄고양,경기 고양시 일산동구 태극로 20-0,호텔,73177
82,해솔리아CC,경기 용인시 처인구 백자로297번길 74-0,육상레저스포츠,72901
83,레이크우드CC,경기 양주시 만송로 244-0,육상레저스포츠,72724
84,스카이밸리CC,경기 여주시 운촌길 254-0,육상레저스포츠,72487
85,물의정원,경기 남양주시 북한강로 398-0,도시공원,72086
86,뉴서울CC,경기 광주시 삼지곡길 95-0,육상레저스포츠,71900
87,벽초지문화수목원,경기 파주시 부흥로 242-0,자연공원,71814
88,한성CC,경기 용인시 기흥구 구교동로 151-0,육상레저스포츠,71450
89,탄도선착장,경기 안산시 단원구 대부황금로 0-0,교통시설,71266
90,더크로스비GC,경기 이천시 중부대로798번길 177-0,육상레저스포츠,70487
91,포천힐스CC,경기 포천시 반월산성로375번길 34-0,육상레저스포츠,70438
92,솔모로CC,경기 여주시 솔모로그린길 171-0,육상레저스포츠,70221
93,서오릉,경기 고양시 덕양구 서오릉로 334-92,역사유적지,68987
94,대유몽베르CC,경기 포천시 산정호수로 359-12,육상레저스포츠,68558
95,한림용인CC,경기 용인시 처인구 경기동로 628-0,육상레저스포츠,68269
96,오산오색시장,경기 오산시 오산로278번길 10-0,시장,67474
97,남이섬선착장,경기 가평군 북한강변로 1024-0,교통시설,66755
98,서울동물원,경기 과천시 대공원광장로 102-0,테마공원,66375
99,마이다스레이크이천 골프앤리조트,경기 이천시 설가로 602-0,육상레저스포츠,66167
100,지산CC,경기 용인시 처인구 죽양대로2000번길 60-0,육상레저스포츠,65476
