순위,관광지명,주소,분류,현지인 검색 수
1,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑몰,73909
2,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,시장,73462
3,동탄호수공원,경기 화성시,도시공원,65525
4,궁평항,경기 화성시 궁평항로 1049-24,자연경관(하천/해양),65095
5,오이도빨강등대,경기 시흥시 오이도로 170-0,랜드마크관광,60436
6,에버랜드,경기 용인시 처인구 에버랜드로 199-0,테마공원,60389
7,이케아고양점,경기 고양시 덕양구 권율대로 420-0,쇼핑몰,56985
8,삼미시장,경기 시흥시 삼미시장2길 29-0,시장,56623
9,율동공원,경기 성남시 분당구 문정로 145-0,도시공원,51627
10,통복시장,경기 평택시 통복시장로25번길 10-0,시장,48088
11,이케아기흥점,경기 용인시 기흥구 신고매로 62-0,쇼핑몰,47781
12,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑몰,42785
13,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사유적지,41856
14,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,시장,40276
15,롯데시네마향남,경기 화성시 상신하길로298번길 7-21,공연시설,39539
16,일산호수공원,경기 고양시 일산동구 호수로 595-0,도시공원,39280
17,융릉과건릉,경기 화성시 효행로481번길 21-0,역사유적지,31333
18,대명포구,경기 김포시,자연경관(하천/해양),30602
19,사강시장,경기 화성시 사강로 189-0,시장,30390
20,LF스퀘어양주점,경기 양주시 평화로 1593-0,쇼핑몰,30072
21,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,29956
22,앨리웨이광교,경기 수원시 영통구 광교호수공원로 80-0,쇼핑몰,29942
23,롯데시네마병점,경기 화성시 효행로 1052-0,공연시설,29553
24,제부도,경기 화성시,자연경관(하천/해양),29167
25,광명스피돔,경기 광명시 광명로 721-0,육상레저스포츠,29165
26,AK&기흥점,경기 용인시 기흥구 기흥역로 63-0,쇼핑몰,28488
27,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑몰,28242
28,의정부제일시장,경기 의정부시 태평로73번길 20-0,시장,27704
29,안양예술공원,경기 안양시 만안구 예술공원로 195-1,도시공원,25398
30,상대원시장,경기 성남시 중원구 희망로344번길 6-0,시장,25298
31,수원농수산물도매시장,경기 수원시 권선구 세권로 243-0,시장,25200
