행정구역,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100+,총인구수
전국,3624681,4696767,6531636,6647003,8134712,8651892,7279621,3807864,1918134,273603,8533,51574446
서울특별시,561651,752130,1411442,1430515,1468788,1507446,1291759,712955,311999,42783,1743,9493211
부산광역시,211960,265244,404464,400134,499292,549731,551884,305525,129948,15979,434,3334595
대구광역시,161775,217375,301782,281414,368010,417484,346375,182613,86396,10632,264,2374120
인천광역시,211842,270973,383741,402942,482412,512005,409817,186215,86823,13370,440,2960580
광주광역시,109608,150856,201819,178529,235238,237542,173953,95736,45058,6174,190,1434703
대전광역시,104279,140345,206213,188095,229074,239834,193847,94538,45394,6385,178,1448182
울산광역시,87935,109438,132982,141620,182689,206005,159562,65710,25412,3337,63,1114753
세종특별자치시,46705,47700,38928,61430,75615,50972,34807,15418,7929,1354,31,380889
경기도,1064380,1325056,1766235,1883688,2293537,2294241,1709964,800841,392251,57269,1900,13589362
강원도,98196,132467,172308,161042,218144,264126,263243,137650,79820,11822,360,1539178
충청북도,112434,145734,191115,188410,237335,269970,246199,123641,72144,9883,298,1597163
충청남도,156295,201180,233854,254853,327444,341597,306647,174550,107595,16531,465,2121011
전라북도,114012,167990,201839,178183,257027,299660,271748,170156,100645,15250,439,1776949
전라남도,118585,161490,189261,174375,250748,313120,288881,190928,119674,17931,541,1825534
경상북도,170381,220353,266794,272561,373764,452782,439513,248194,146041,21061,572,2612016
경상남도,238327,317889,349805,369202,523873,578574,504369,256616,135201,19451,402,3293709
제주특별자치도,56316,70547,79054,80010,111722,116803,87053,46578,25804,4391,213,678491
